Time [ms],Timestamp,Raw Value,Corrected Value,Temperature Value,LD20 Flow,LD20 Temperature,LD20 Status,Heater Voltage,Thermistor Voltage,Heater Current,Thermistor Current,Series R Voltage
"2000020.0","14:23:23.882","2204245.0000","0.1167","60663.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2000040.0","14:23:23.902","2203607.0000","0.0513","60644.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2000060.0","14:23:23.922","2203604.0000","0.0511","60644.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2000080.0","14:23:23.942","2204754.0000","0.1689","60644.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2000100.0","14:23:23.962","2204149.0000","0.1069","60651.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2000120.0","14:23:23.982","2203784.0000","0.0695","60651.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2000140.0","14:23:24.2","2204323.0000","0.1247","60651.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2000160.0","14:23:24.22","2204251.0000","0.1173","60664.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2000180.0","14:23:24.42","2204257.0000","0.1180","60664.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2000200.0","14:23:24.62","2204522.0000","0.1451","60664.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2000220.0","14:23:24.82","2203904.0000","0.0818","60647.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2000240.0","14:23:24.102","2203553.0000","0.0458","60647.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2000260.0","14:23:24.122","2203230.0000","0.0127","60647.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2000280.0","14:23:24.142","2202830.0000","-0.0283","60640.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2000300.0","14:23:24.162","2203374.0000","0.0274","60640.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2000320.0","14:23:24.182","2202989.0000","-0.0120","60640.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2000340.0","14:23:24.202","2203405.0000","0.0306","60658.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2000360.0","14:23:24.222","2203290.0000","0.0189","60658.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2000380.0","14:23:24.242","2203660.0000","0.0568","60658.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2000400.0","14:23:24.262","2203441.0000","0.0343","60678.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2000420.0","14:23:24.282","2204429.0000","0.1356","60678.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2000440.0","14:23:24.302","2204173.0000","0.1093","60678.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2000460.0","14:23:24.322","2203002.0000","-0.0107","60664.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2000480.0","14:23:24.342","2203812.0000","0.0723","60664.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2000500.0","14:23:24.362","2203763.0000","0.0673","60664.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2000520.0","14:23:24.382","2204254.0000","0.1177","60661.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2000540.0","14:23:24.402","2203404.0000","0.0305","60661.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2000560.0","14:23:24.422","2203568.0000","0.0473","60661.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2000580.0","14:23:24.442","2203832.0000","0.0744","60665.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2000600.0","14:23:24.462","2203345.0000","0.0245","60665.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2000620.0","14:23:24.482","2204755.0000","0.1690","60665.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2000640.0","14:23:24.502","2203712.0000","0.0621","60651.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2000660.0","14:23:24.522","2204449.0000","0.1376","60651.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2000680.0","14:23:24.542","2204002.0000","0.0918","60651.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2000700.0","14:23:24.562","2204271.0000","0.1194","60651.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2000720.0","14:23:24.582","2203941.0000","0.0856","60651.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2000740.0","14:23:24.602","2203744.0000","0.0654","60651.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2000760.0","14:23:24.622","2202719.0000","-0.0397","60643.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2000780.0","14:23:24.642","2202587.0000","-0.0532","60643.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2000800.0","14:23:24.662","2204252.0000","0.1174","60643.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2000820.0","14:23:24.682","2202775.0000","-0.0339","60645.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2000840.0","14:23:24.702","2202380.0000","-0.0744","60645.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2000860.0","14:23:24.722","2203264.0000","0.0162","60645.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2000880.0","14:23:24.742","2203290.0000","0.0189","60645.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2000900.0","14:23:24.762","2202217.0000","-0.0912","60645.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2000920.0","14:23:24.782","2203835.0000","0.0747","60645.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2000940.0","14:23:24.802","2203414.0000","0.0316","60642.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2000960.0","14:23:24.822","2203574.0000","0.0480","60642.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2000980.0","14:23:24.842","2203442.0000","0.0344","60642.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2001000.0","14:23:24.862","2202736.0000","-0.0380","60640.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2001020.0","14:23:24.882","2204101.0000","0.1020","60640.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2001040.0","14:23:24.902","2203306.0000","0.0205","60640.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2001060.0","14:23:24.922","2202828.0000","-0.0285","60646.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2001080.0","14:23:24.942","2203206.0000","0.0102","60646.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2001100.0","14:23:24.962","2203728.0000","0.0637","60646.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2001120.0","14:23:24.982","2203210.0000","0.0106","60647.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2001140.0","14:23:25.2","2203694.0000","0.0603","60647.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2001160.0","14:23:25.22","2202558.0000","-0.0562","60647.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2001180.0","14:23:25.42","2203578.0000","0.0484","60650.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2001200.0","14:23:25.62","2203070.0000","-0.0037","60650.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2001220.0","14:23:25.82","2203348.0000","0.0248","60650.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2001240.0","14:23:25.102","2203068.0000","-0.0039","60650.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2001260.0","14:23:25.122","2203906.0000","0.0820","60650.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2001280.0","14:23:25.142","2202365.0000","-0.0760","60650.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2001300.0","14:23:25.162","2203945.0000","0.0860","60650.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2001320.0","14:23:25.182","2204032.0000","0.0949","60650.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2001340.0","14:23:25.202","2204094.0000","0.1013","60650.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2001360.0","14:23:25.222","2202629.0000","-0.0489","60650.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2001380.0","14:23:25.242","2203825.0000","0.0737","60657.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2001400.0","14:23:25.262","2202808.0000","-0.0306","60657.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2001420.0","14:23:25.282","2203857.0000","0.0770","60657.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2001440.0","14:23:25.302","2202654.0000","-0.0464","60660.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2001460.0","14:23:25.322","2202544.0000","-0.0576","60660.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2001480.0","14:23:25.342","2202601.0000","-0.0518","60660.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2001500.0","14:23:25.362","2203064.0000","-0.0043","60663.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2001520.0","14:23:25.382","2203954.0000","0.0869","60663.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2001540.0","14:23:25.402","2203733.0000","0.0642","60663.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2001560.0","14:23:25.422","2203629.0000","0.0536","60662.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2001580.0","14:23:25.442","2203728.0000","0.0637","60662.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2001600.0","14:23:25.462","2203466.0000","0.0369","60662.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2001620.0","14:23:25.482","2202378.0000","-0.0746","60656.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2001640.0","14:23:25.502","2203622.0000","0.0529","60656.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2001660.0","14:23:25.522","2203560.0000","0.0465","60656.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2001680.0","14:23:25.542","2204166.0000","0.1086","60666.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2001700.0","14:23:25.562","2203501.0000","0.0405","60666.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2001720.0","14:23:25.582","2203217.0000","0.0114","60666.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2001740.0","14:23:25.602","2203171.0000","0.0067","60650.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2001760.0","14:23:25.622","2203559.0000","0.0464","60650.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2001780.0","14:23:25.642","2203715.0000","0.0624","60650.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2001800.0","14:23:25.662","2203868.0000","0.0781","60651.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2001820.0","14:23:25.682","2203046.0000","-0.0062","60651.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2001840.0","14:23:25.702","2202975.0000","-0.0135","60651.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2001860.0","14:23:25.722","2204215.0000","0.1136","60651.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2001880.0","14:23:25.742","2204091.0000","0.1009","60651.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2001900.0","14:23:25.762","2203137.0000","0.0032","60651.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2001920.0","14:23:25.782","2203717.0000","0.0626","60656.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2001940.0","14:23:25.802","2203212.0000","0.0109","60656.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2001960.0","14:23:25.822","2202529.0000","-0.0591","60656.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2001980.0","14:23:25.842","2202441.0000","-0.0682","60647.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2002000.0","14:23:25.862","2202062.0000","-0.1070","60647.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2002020.0","14:23:25.882","2202788.0000","-0.0326","60647.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2002040.0","14:23:25.902","2202984.0000","-0.0125","60666.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2002060.0","14:23:25.922","2202676.0000","-0.0441","60666.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2002080.0","14:23:25.942","2202777.0000","-0.0338","60666.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2002100.0","14:23:25.962","2202846.0000","-0.0266","60663.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2002120.0","14:23:25.982","2203895.0000","0.0809","60663.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2002140.0","14:23:26.2","2202412.0000","-0.0711","60663.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2002160.0","14:23:26.22","2202893.0000","-0.0219","60665.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2002180.0","14:23:26.42","2203571.0000","0.0477","60665.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2002200.0","14:23:26.62","2204387.0000","0.1313","60665.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2002220.0","14:23:26.82","2203561.0000","0.0466","60656.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2002240.0","14:23:26.102","2204154.0000","0.1074","60656.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2002260.0","14:23:26.122","2202579.0000","-0.0540","60656.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2002280.0","14:23:26.142","2203530.0000","0.0435","60654.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2002300.0","14:23:26.162","2203658.0000","0.0565","60654.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2002320.0","14:23:26.182","2202522.0000","-0.0599","60654.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2002340.0","14:23:26.202","2202949.0000","-0.0161","60656.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2002360.0","14:23:26.222","2202889.0000","-0.0223","60656.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2002380.0","14:23:26.242","2203382.0000","0.0283","60656.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2002400.0","14:23:26.262","2204409.0000","0.1335","60656.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2002420.0","14:23:26.282","2203666.0000","0.0574","60656.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2002440.0","14:23:26.302","2204050.0000","0.0967","60656.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2002460.0","14:23:26.322","2203408.0000","0.0309","60652.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2002480.0","14:23:26.342","2203292.0000","0.0190","60652.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2002500.0","14:23:26.362","2203509.0000","0.0413","60652.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2002520.0","14:23:26.382","2203278.0000","0.0176","60649.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2002540.0","14:23:26.402","2203707.0000","0.0616","60649.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2002560.0","14:23:26.422","2204012.0000","0.0928","60649.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2002580.0","14:23:26.442","2203266.0000","0.0164","60666.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2002600.0","14:23:26.462","2202705.0000","-0.0411","60666.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2002620.0","14:23:26.482","2202730.0000","-0.0385","60666.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2002640.0","14:23:26.502","2203519.0000","0.0423","60667.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2002660.0","14:23:26.522","2204146.0000","0.1066","60667.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2002680.0","14:23:26.542","2203917.0000","0.0831","60667.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2002700.0","14:23:26.562","2202776.0000","-0.0338","60671.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2002720.0","14:23:26.582","2202705.0000","-0.0411","60671.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2002740.0","14:23:26.602","2202708.0000","-0.0408","60671.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2002760.0","14:23:26.622","2204549.0000","0.1479","60678.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2002780.0","14:23:26.642","2203811.0000","0.0722","60678.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2002800.0","14:23:26.662","2203417.0000","0.0319","60678.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2002820.0","14:23:26.682","2203584.0000","0.0490","60652.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2002840.0","14:23:26.702","2203549.0000","0.0454","60652.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"2002860.0","14:23:26.722","2204142.0000","0.1062","60652.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
