Time [ms],Corrected Value
"20.0","6.1425"
"40.0","5.8217"
"60.0","5.9246"
"80.0","5.9353"
"100.0","5.9294"
"120.0","6.2653"
"140.0","5.9975"
"160.0","5.9596"
"180.0","5.6835"
"200.0","6.0688"
"220.0","6.1263"
"240.0","5.8662"
"260.0","5.8228"
"280.0","6.0060"
"300.0","5.9443"
"320.0","6.3297"
"340.0","6.0188"
"360.0","5.9634"
"380.0","5.7421"
"400.0","5.9439"
"420.0","6.3019"
"440.0","5.9116"
"460.0","5.9354"
"480.0","5.9624"
"500.0","5.8922"
"520.0","6.3181"
"540.0","6.0158"
"560.0","5.8577"
"580.0","5.8587"
"600.0","6.0452"
"620.0","6.1748"
"640.0","5.8992"
"660.0","6.0219"
"680.0","5.9005"
"700.0","6.0739"
"720.0","6.4070"
"740.0","6.0474"
"760.0","5.9294"
"780.0","5.8621"
"800.0","6.0069"
"820.0","6.4725"
"840.0","5.9967"
"860.0","6.0286"
"880.0","5.9221"
"900.0","6.0568"
"920.0","6.3777"
"940.0","6.0033"
"960.0","5.8512"
"980.0","5.7293"
"1000.0","5.8533"
"1020.0","6.3643"
"1040.0","5.8781"
"1060.0","5.8689"
"1080.0","5.8252"
"1100.0","5.9651"
"1120.0","6.3266"
"1140.0","6.0395"
"1160.0","6.0181"
"1180.0","5.7965"
"1200.0","5.9191"
"1220.0","6.2086"
"1240.0","6.0339"
"1260.0","5.9232"
"1280.0","5.8461"
"1300.0","6.1108"
"1320.0","6.1218"
"1340.0","6.0898"
"1360.0","6.0366"
"1380.0","6.1010"
"1400.0","6.0110"
"1420.0","6.1926"
"1440.0","5.9822"
"1460.0","5.9706"
"1480.0","5.7936"
"1500.0","5.9191"
"1520.0","6.1586"
"1540.0","5.9453"
"1560.0","5.8852"
"1580.0","5.9167"
"1600.0","6.0980"
"1620.0","6.2513"
"1640.0","6.0162"
"1660.0","5.9647"
"1680.0","5.8798"
"1700.0","5.9865"
"1720.0","6.2392"
"1740.0","5.9814"
"1760.0","5.8988"
"1780.0","5.8084"
"1800.0","5.9971"
"1820.0","6.4151"
"1840.0","5.9174"
"1860.0","5.9242"
"1880.0","5.9364"
"1900.0","6.1926"
"1920.0","6.3251"
"1940.0","6.1731"
"1960.0","6.0666"
"1980.0","5.9517"
"2000.0","6.1194"
"2020.0","6.2211"
"2040.0","5.8716"
"2060.0","6.0129"
"2080.0","5.9123"
"2100.0","5.8760"
"2120.0","6.1569"
"2140.0","6.1101"
"2160.0","5.8861"
"2180.0","5.8003"
"2200.0","5.9164"
"2220.0","6.2062"
"2240.0","5.9762"
"2260.0","6.0456"
"2280.0","5.7390"
"2300.0","5.9807"
"2320.0","6.1846"
"2340.0","6.1174"
"2360.0","5.9149"
"2380.0","5.8091"
"2400.0","6.1243"
"2420.0","6.2125"
