Time [ms],Measured Flow,Simple Moving Average Flow,Exponential Moving Average Flow
"20.0","1.8174","1.8174","1.8174"
"40.0","1.4359","1.4359","1.7481"
"60.0","2.1645","2.1645","1.8238"
"80.0","0.7116","0.7116","1.6216"
"100.0","1.8578","1.8578","1.6645"
"120.0","2.0618","2.0618","1.7368"
"140.0","2.1251","2.1251","1.8074"
"160.0","3.2707","3.2707","2.0734"
"180.0","1.7183","1.7183","2.0089"
"200.0","2.2602","1.9423","2.0546"
"220.0","2.5024","2.0108","2.1360"
"240.0","2.6295","2.1302","2.2257"
"260.0","4.5037","2.3641","2.6399"
"280.0","3.5077","2.6437","2.7977"
"300.0","3.3335","2.7913","2.8951"
"320.0","3.6919","2.9543","3.0400"
"340.0","3.7938","3.1212","3.1770"
"360.0","5.8294","3.3770","3.6593"
"380.0","4.4550","3.6507","3.8040"
"400.0","4.4373","3.8684","3.9191"
"420.0","4.6330","4.0815","4.0489"
"440.0","6.0973","4.4283","4.4213"
"460.0","7.7178","4.7497","5.0207"
"480.0","5.7885","4.9777","5.1603"
"500.0","4.7238","5.1168","5.0809"
"520.0","4.6687","5.2145","5.0060"
"540.0","5.1665","5.3517","5.0352"
"560.0","6.5619","5.4250","5.3128"
"580.0","4.0691","5.3864","5.0866"
"600.0","4.8447","5.4271","5.0427"
"620.0","6.7036","5.6342","5.3447"
"640.0","7.0195","5.7264","5.6492"
"660.0","7.5849","5.7131","6.0011"
"680.0","3.5785","5.4921","5.5607"
"700.0","3.7109","5.3909","5.2243"
"720.0","4.6223","5.3862","5.1149"
"740.0","6.3265","5.5022","5.3352"
"760.0","6.7466","5.5207","5.5918"
"780.0","3.8213","5.4959","5.2699"
"800.0","4.6462","5.4760","5.1565"
"820.0","5.9201","5.3977","5.2953"
"840.0","5.6806","5.2638","5.3654"
"860.0","5.3151","5.0368","5.3562"
"880.0","1.9118","4.8701","4.7300"
"900.0","2.9808","4.7971","4.4119"
"920.0","4.9113","4.8260","4.5027"
"940.0","5.4564","4.7390","4.6761"
"960.0","5.0770","4.5720","4.7490"
"980.0","2.7968","4.4696","4.3941"
"1000.0","3.5632","4.3613","4.2430"
"1020.0","4.4452","4.2138","4.2798"
"1040.0","3.4017","3.9859","4.1201"
