Time [ms],Measured Flow,Simple Moving Average Flow,Exponential Moving Average Flow,LD20 Flow
"300001.0","28.2085","26.8453","27.4805","-0.0500"
"300002.0","29.1035","27.0812","28.2920","-0.0500"
"300003.0","29.3569","27.3343","28.8245","-0.0500"
"300004.0","28.6899","27.5321","28.7572","-0.0500"
"300005.0","27.6887","27.6567","28.2229","-0.0500"
"300006.0","27.6887","27.7528","27.9558","-0.0500"
"300007.0","26.0321","27.6814","26.9939","-0.0500"
"300008.0","24.7371","27.4891","25.8655","-0.0500"
"300009.0","24.2284","27.2666","25.0470","-0.0500"
"300010.0","24.6304","27.0364","24.8387","-0.0500"
"300011.0","24.8662","26.7022","24.8525","-0.0500"
"300012.0","24.8424","26.2761","24.8474","-0.0500"
"300013.0","24.9504","25.8354","24.8989","-0.0500"
"300014.0","25.0867","25.4751","24.9928","-0.0500"
"300015.0","25.2626","25.2325","25.1277","-0.0500"
"300016.0","25.3201","24.9956","25.2239","-0.0500"
"300017.0","25.6762","24.9600","25.4500","-0.0500"
"300018.0","27.0552","25.1919","26.2526","-0.0500"
"300019.0","28.2786","25.5969","27.2656","-0.0500"
"300020.0","28.8734","26.0212","28.0695","-0.0500"
"300021.0","28.8625","26.4208","28.4660","-0.0500"
"300022.0","28.0227","26.7388","28.2444","-0.0500"
"300023.0","26.6134","26.9051","27.4289","-0.0500"
"300024.0","25.1602","26.9125","26.2946","-0.0500"
"300025.0","24.7552","26.8618","25.5249","-0.0500"
"300026.0","25.1462","26.8444","25.3355","-0.0500"
"300027.0","25.6040","26.8371","25.4697","-0.0500"
"300028.0","25.6784","26.6995","25.5741","-0.0500"
"300029.0","25.8374","26.4553","25.7057","-0.0500"
"300030.0","26.4131","26.2093","26.0594","-0.0500"
"300031.0","26.8155","26.0046","26.4374","-0.0500"
"300032.0","26.9384","25.8962","26.6879","-0.0500"
"300033.0","27.2700","25.9618","26.9790","-0.0500"
"300034.0","28.5612","26.3019","27.7701","-0.0500"
"300035.0","30.1007","26.8365","28.9354","-0.0500"
"300036.0","30.9871","27.4206","29.9612","-0.0500"
"300037.0","31.4267","28.0028","30.6940","-0.0500"
"300038.0","31.1030","28.5453","30.8985","-0.0500"
"300039.0","30.2437","28.9859","30.5711","-0.0500"
"300040.0","28.7656","29.2212","29.6684","-0.0500"
"300041.0","28.2501","29.3646","28.9592","-0.0500"
"300042.0","28.6804","29.5388","28.8198","-0.0500"
"300043.0","29.3859","29.7504","29.1028","-0.0500"
"300044.0","29.7647","29.8708","29.4338","-0.0500"
"300045.0","30.0782","29.8685","29.7560","-0.0500"
"300046.0","30.8313","29.8530","30.2936","-0.0500"
"300047.0","31.3499","29.8453","30.8218","-0.0500"
"300048.0","31.7888","29.9139","31.3053","-0.0500"
"300049.0","32.0482","30.0943","31.6768","-0.0500"
"300050.0","33.0183","30.5196","32.3475","-0.0500"
"300051.0","34.8871","31.1833","33.6173","-0.0500"
"300052.0","34.8871","31.8039","34.2522","-0.0500"
"300053.0","35.7752","32.4429","35.0137","-0.0500"
"300054.0","36.6060","33.1270","35.8098","-0.0500"
"300055.0","36.5498","33.7742","36.1798","-0.0500"
"300056.0","35.6595","34.2570","35.9196","-0.0500"
"300057.0","34.4070","34.5627","35.1633","-0.0500"
"300058.0","33.2392","34.7077","34.2013","-0.0500"
"300059.0","33.4821","34.8511","33.8417","-0.0500"
"300060.0","34.5727","35.0066","34.2072","-0.0500"
"300061.0","35.0533","35.0232","34.6302","-0.0500"
"300062.0","35.3148","35.0660","34.9725","-0.0500"
"300063.0","35.6884","35.0573","35.3305","-0.0500"
"300064.0","36.4968","35.0464","35.9136","-0.0500"
"300065.0","37.0940","35.1008","36.5038","-0.0500"
"300066.0","37.2223","35.2571","36.8631","-0.0500"
"300067.0","38.1543","35.6318","37.5087","-0.0500"
"300068.0","40.0646","36.3143","38.7867","-0.0500"
"300069.0","41.5566","37.1218","40.1716","-0.0500"
"300070.0","42.2346","37.8880","41.2031","-0.0500"
"300071.0","42.1456","38.5972","41.6743","-0.0500"
"300072.0","41.5336","39.2191","41.6039","-0.0500"
"300073.0","40.3834","39.6886","40.9937","-0.0500"
"300074.0","38.7748","39.9164","39.8842","-0.0500"
"300075.0","38.6068","40.0677","39.2455","-0.0500"
"300076.0","39.1592","40.2613","39.2024","-0.0500"
"300077.0","39.8688","40.4328","39.5356","-0.0500"
"300078.0","40.1285","40.4392","39.8320","-0.0500"
"300079.0","40.5229","40.3358","40.1775","-0.0500"
"300080.0","41.1433","40.2267","40.6604","-0.0500"
"300081.0","41.4266","40.1548","41.0435","-0.0500"
"300082.0","41.7239","40.1738","41.3837","-0.0500"
"300083.0","42.1349","40.3490","41.7593","-0.0500"
"300084.0","43.4458","40.8161","42.6025","-0.0500"
"300085.0","45.2547","41.4809","43.9286","-0.0500"
"300086.0","46.1992","42.1849","45.0639","-0.0500"
"300087.0","46.5127","42.8493","45.7883","-0.0500"
"300088.0","45.8732","43.4237","45.8308","-0.0500"
"300089.0","44.1128","43.7827","44.9718","-0.0500"
"300090.0","42.3995","43.9083","43.6856","-0.0500"
"300091.0","41.4493","43.9106","42.5675","-0.0500"
"300092.0","41.7490","43.9131","42.1583","-0.0500"
"300093.0","42.3448","43.9341","42.2515","-0.0500"
"300094.0","42.5348","43.8430","42.3932","-0.0500"
"300095.0","42.1988","43.5374","42.2960","-0.0500"
"300096.0","43.0045","43.2180","42.6502","-0.0500"
"300097.0","43.2838","42.8951","42.9670","-0.0500"
"300098.0","43.2838","42.6361","43.1254","-0.0500"
"300099.0","43.3083","42.5557","43.2169","-0.0500"
"300100.0","43.2591","42.6416","43.2380","-0.0500"
"300101.0","44.1336","42.9101","43.6858","-0.0500"
"300102.0","46.4602","43.3812","45.0730","-0.0500"
"300103.0","47.5031","43.8970","46.2880","-0.0500"
"300104.0","47.8326","44.4268","47.0603","-0.0500"
"300105.0","47.0822","44.9151","47.0713","-0.0500"
"300106.0","45.4704","45.1617","46.2708","-0.0500"
"300107.0","43.5329","45.1866","44.9019","-0.0500"
"300108.0","41.9279","45.0510","43.4149","-0.0500"
"300109.0","41.7982","44.9000","42.6065","-0.0500"
"300110.0","42.4237","44.8165","42.5151","-0.0500"
"300111.0","42.3027","44.6334","42.4089","-0.0500"
"300112.0","42.2068","44.2080","42.3078","-0.0500"
"300113.0","42.4973","43.7075","42.4026","-0.0500"
"300114.0","42.6854","43.1927","42.5440","-0.0500"
"300115.0","42.6714","42.7517","42.6077","-0.0500"
"300116.0","42.6513","42.4697","42.6295","-0.0500"
"300117.0","43.3034","42.4468","42.9664","-0.0500"
"300118.0","45.0956","42.7636","44.0310","-0.0500"
"300119.0","46.4152","43.2253","45.2231","-0.0500"
"300120.0","46.8166","43.6646","46.0199","-0.0500"
"300121.0","46.3221","44.0665","46.1710","-0.0500"
"300122.0","44.7384","44.3197","45.4547","-0.0500"
"300123.0","42.8694","44.3569","44.1620","-0.0500"
"300124.0","41.2496","44.2133","42.7058","-0.0500"
"300125.0","40.8226","44.0284","41.7642","-0.0500"
"300126.0","41.3317","43.8965","41.5479","-0.0500"
"300127.0","41.5965","43.7258","41.5722","-0.0500"
"300128.0","41.3522","43.3514","41.4622","-0.0500"
"300129.0","41.3859","42.8485","41.4241","-0.0500"
"300130.0","41.7778","42.3446","41.6009","-0.0500"
"300131.0","41.7553","41.8879","41.6781","-0.0500"
"300132.0","41.5219","41.5663","41.6000","-0.0500"
"300133.0","41.7776","41.4571","41.6888","-0.0500"
"300134.0","43.1100","41.6432","42.3994","-0.0500"
"300135.0","44.5851","42.0194","43.4923","-0.0500"
"300136.0","45.2030","42.4065","44.3476","-0.0500"
"300137.0","45.0831","42.7552","44.7153","-0.0500"
"300138.0","44.0183","43.0218","44.3668","-0.0500"
