Time [ms],Measured Flow,Simple Moving Average Flow,Exponential Moving Average Flow,Riemann FlowLD20 Flow
"100001.0","-3.7180","-3.7239","-3.6431","-3.6617","0.0000"
"100002.0","-3.6650","-3.7363","-3.6431","-3.6617","0.0000"
"100003.0","-3.6386","-3.7464","-3.6431","-3.6617","0.0000"
"100004.0","-3.5842","-3.7390","-3.6431","-3.6617","0.0000"
"100005.0","-3.5394","-3.7167","-3.6430","-3.6617","0.0000"
"100006.0","-3.6114","-3.7000","-3.6429","-3.6617","0.0000"
"100007.0","-3.6706","-3.6797","-3.6430","-3.6617","0.0000"
"100008.0","-3.7075","-3.6635","-3.6430","-3.6617","0.0000"
"100009.0","-3.7423","-3.6552","-3.6431","-3.6617","0.0000"
"100010.0","-3.6668","-3.6544","-3.6432","-3.6617","0.0000"
"100011.0","-3.8513","-3.6677","-3.6434","-3.6617","0.0000"
"100012.0","-3.9400","-3.6952","-3.6437","-3.6617","0.0000"
"100013.0","-3.9582","-3.7272","-3.6440","-3.6617","0.0000"
"100014.0","-3.8989","-3.7586","-3.6442","-3.6617","0.0000"
"100015.0","-3.9356","-3.7983","-3.6445","-3.6617","0.0000"
"100016.0","-3.9436","-3.8315","-3.6448","-3.6617","0.0000"
"100017.0","-3.8860","-3.8530","-3.6451","-3.6617","0.0000"
"100018.0","-3.8160","-3.8639","-3.6452","-3.6617","0.0000"
"100019.0","-3.6367","-3.8533","-3.6452","-3.6617","0.0000"
"100020.0","-3.5888","-3.8455","-3.6452","-3.6617","0.0000"
"100021.0","-3.5568","-3.8161","-3.6451","-3.6617","0.0000"
"100022.0","-3.5822","-3.7803","-3.6450","-3.6617","0.0000"
"100023.0","-3.5524","-3.7397","-3.6449","-3.6617","0.0000"
"100024.0","-3.5524","-3.7050","-3.6448","-3.6617","0.0000"
"100025.0","-3.6357","-3.6751","-3.6448","-3.6617","0.0000"
"100026.0","-3.7162","-3.6523","-3.6449","-3.6617","0.0000"
"100027.0","-3.7663","-3.6403","-3.6450","-3.6617","0.0000"
"100028.0","-3.7665","-3.6354","-3.6451","-3.6617","0.0000"
"100029.0","-3.7970","-3.6514","-3.6453","-3.6617","0.0000"
"100030.0","-3.9008","-3.6826","-3.6455","-3.6617","0.0000"
"100031.0","-3.8770","-3.7146","-3.6458","-3.6617","0.0000"
"100032.0","-3.8635","-3.7428","-3.6460","-3.6617","0.0000"
"100033.0","-3.9053","-3.7781","-3.6463","-3.6617","0.0000"
"100034.0","-3.8440","-3.8072","-3.6465","-3.6617","0.0000"
"100035.0","-3.8640","-3.8301","-3.6467","-3.6617","0.0000"
"100036.0","-3.7516","-3.8336","-3.6468","-3.6617","0.0000"
"100037.0","-3.6527","-3.8222","-3.6468","-3.6617","0.0000"
"100038.0","-3.5719","-3.8028","-3.6467","-3.6617","0.0000"
"100039.0","-3.6153","-3.7846","-3.6467","-3.6617","0.0000"
"100040.0","-3.6772","-3.7622","-3.6467","-3.6617","0.0000"
"100041.0","-3.6009","-3.7346","-3.6467","-3.6617","0.0000"
"100042.0","-3.7088","-3.7192","-3.6467","-3.6617","0.0000"
"100043.0","-3.7707","-3.7057","-3.6468","-3.6617","0.0000"
"100044.0","-3.8354","-3.7049","-3.6470","-3.6617","0.0000"
"100045.0","-3.8469","-3.7031","-3.6472","-3.6617","0.0000"
"100046.0","-3.8887","-3.7168","-3.6475","-3.6617","0.0000"
"100047.0","-3.9051","-3.7421","-3.6477","-3.6617","0.0000"
"100048.0","-3.9542","-3.7803","-3.6480","-3.6617","0.0000"
"100049.0","-3.8391","-3.8027","-3.6482","-3.6617","0.0000"
"100050.0","-3.7701","-3.8120","-3.6484","-3.6617","0.0000"
"100051.0","-3.6844","-3.8203","-3.6484","-3.6617","0.0000"
"100052.0","-3.6840","-3.8179","-3.6484","-3.6617","0.0000"
"100053.0","-3.5830","-3.7991","-3.6484","-3.6617","0.0000"
"100054.0","-3.5131","-3.7669","-3.6482","-3.6617","0.0000"
"100055.0","-3.5139","-3.7336","-3.6481","-3.6617","0.0000"
"100056.0","-3.4160","-3.6863","-3.6479","-3.6617","0.0000"
"100057.0","-3.4769","-3.6435","-3.6477","-3.6617","0.0000"
"100058.0","-3.5116","-3.5992","-3.6476","-3.6617","0.0000"
"100059.0","-3.5094","-3.5663","-3.6474","-3.6617","0.0000"
"100060.0","-3.6007","-3.5493","-3.6474","-3.6617","0.0000"
"100061.0","-3.6959","-3.5505","-3.6474","-3.6617","0.0000"
"100062.0","-3.8139","-3.5634","-3.6476","-3.6617","0.0000"
"100063.0","-3.7274","-3.5779","-3.6477","-3.6617","0.0000"
"100064.0","-3.7857","-3.6051","-3.6478","-3.6617","0.0000"
"100065.0","-3.7703","-3.6308","-3.6479","-3.6617","0.0000"
"100066.0","-3.9040","-3.6796","-3.6482","-3.6617","0.0000"
"100067.0","-3.7890","-3.7108","-3.6483","-3.6617","0.0000"
"100068.0","-3.5883","-3.7185","-3.6483","-3.6617","0.0000"
"100069.0","-3.5465","-3.7222","-3.6482","-3.6617","0.0000"
"100070.0","-3.5895","-3.7210","-3.6481","-3.6617","0.0000"
"100071.0","-3.5895","-3.7104","-3.6480","-3.6617","0.0000"
"100072.0","-3.5356","-3.6826","-3.6479","-3.6617","0.0000"
"100073.0","-3.4235","-3.6522","-3.6477","-3.6617","0.0000"
