Time [ms],Timestamp,Raw Value,Corrected Value,Temperature Value,LD20 Flow,LD20 Temperature,LD20 Status,Heater Voltage,Thermistor Voltage,Heater Current,Thermistor Current,Series R Voltage
"25.0","12:03:15.960","2229533.0000","2.2409","62300.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"50.0","12:03:15.985","2234388.0000","2.7702","62300.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"75.0","12:03:16.10","2232485.0000","2.5627","62300.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"100.0","12:03:16.35","2237389.0000","3.0974","62310.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"125.0","12:03:16.60","2235929.0000","2.9382","62310.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"150.0","12:03:16.85","2240623.0000","3.4499","62304.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"175.0","12:03:16.110","2239966.0000","3.3783","62304.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"200.0","12:03:16.135","2243616.0000","3.7762","62304.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"225.0","12:03:16.160","2242608.0000","3.6663","62314.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"250.0","12:03:16.185","2245152.0000","3.9437","62314.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"275.0","12:03:16.210","2242378.0000","3.6412","62308.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"300.0","12:03:16.235","2245493.0000","3.9808","62308.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"325.0","12:03:16.260","2241647.0000","3.5615","62291.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"350.0","12:03:16.285","2244781.0000","3.9032","62291.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"375.0","12:03:16.310","2242194.0000","3.6212","62291.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"400.0","12:03:16.335","2246546.0000","4.0956","62302.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"425.0","12:03:16.360","2243922.0000","3.8095","62302.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"450.0","12:03:16.385","2246244.0000","4.0627","62304.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"475.0","12:03:16.410","2242626.0000","3.6683","62304.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"500.0","12:03:16.435","2245564.0000","3.9886","62304.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
