Time [ms],Timestamp,Raw Value,Corrected Value,,,,,
1,36:31.5,2243868,3.8037,,,,,
2,36:31.5,2243973,3.8151,,,,,
3,36:31.5,2243425,3.7554,,,,,
4,36:31.5,2243682,3.7834,,,,,
5,36:31.5,2243588,3.7732,,,,,
6,36:31.5,2242318,3.6347,,,,,
7,36:31.5,2241853,3.584,,,,,
8,36:31.5,2241718,3.5693,,,,,
9,36:31.5,2241955,3.5951,,,,,58.67746567
10,36:31.5,2241801,3.5783,,,,,
11,36:31.5,2241751,3.5729,,,,,
12,36:31.5,2242509,3.6555,,,,,
13,36:31.5,2242935,3.7019,,,,,
14,36:31.5,2243242,3.7354,,,,,
15,36:31.5,2243711,3.7866,,,,,
16,36:31.5,2243750,3.7908,,,,,
17,36:31.5,2243524,3.7662,,,,,
18,36:31.5,2242070,3.6077,,,,,
19,36:31.5,2243756,3.7915,,,,,
20,36:31.5,2244290,3.8497,,,,,
21,36:31.5,2243049,3.7144,,,,,
22,36:31.5,2243243,3.7356,,,,,
23,36:31.5,2242607,3.6662,,,,,
24,36:31.5,2243064,3.716,,,,,
25,36:31.5,2241800,3.5782,,,,,
26,36:31.5,2240268,3.4112,,,,,
27,36:31.5,2241032,3.4945,,,,,
28,36:31.5,2240365,3.4218,,,,,
29,36:31.5,2240365,3.4218,,,,,
30,36:31.5,2240290,3.4136,,,,,
31,36:31.5,2241126,3.5048,,,,,
32,36:31.5,2240356,3.4208,,,,,
33,36:31.5,2240792,3.4683,,,,,
34,36:31.5,2240403,3.4259,,,,,
35,36:31.5,2240496,3.4361,,,,,
36,36:31.5,2240986,3.4895,,,,,
37,36:31.5,2240494,3.4359,,,,,
38,36:31.5,2241264,3.5198,,,,,
39,36:31.6,2240846,3.4742,,,,,
40,36:31.6,2242108,3.6118,,,,,
41,36:31.6,2242244,3.6266,,,,,
42,36:31.6,2241437,3.5386,,,,,
43,36:31.6,2241585,3.5548,,,,,
44,36:31.6,2240018,3.384,,,,,
45,36:31.6,2241150,3.5073,,,,,
46,36:31.6,2241698,3.5671,,,,,
47,36:31.6,2242596,3.665,,,,,
48,36:31.6,2241872,3.5861,,,,,
49,36:31.6,2241007,3.4918,,,,,
50,36:31.6,2241294,3.5231,,,,,
51,36:31.6,2241012,3.4923,,,,,
52,36:31.6,2240860,3.4757,,,,,
53,36:31.6,2241995,3.5995,,,,,
54,36:31.6,2241619,3.5585,,,,,
55,36:31.6,2241063,3.4979,,,,,
56,36:31.6,2241308,3.5246,,,,,
57,36:31.6,2241214,3.5143,,,,,
58,36:31.6,2241647,3.5615,,,,,
59,36:31.6,2240408,3.4265,,,,,
60,36:31.6,2240306,3.4153,,,,,
61,36:31.6,2239665,3.3455,,,,,
62,36:31.6,2239864,3.3672,,,,,
63,36:31.6,2241276,3.5211,,,,,
64,36:31.6,2241721,3.5696,,,,,
65,36:31.6,2242102,3.6111,,,,,
66,36:31.6,2240760,3.4648,,,,,
67,36:31.6,2240666,3.4546,,,,,
68,36:31.6,2239840,3.3646,,,,,
69,36:31.6,2241191,3.5118,,,,,
70,36:31.6,2242105,3.6115,,,,,
71,36:31.6,2242862,3.694,,,,,
72,36:31.6,2242609,3.6664,,,,,
73,36:31.6,2242933,3.7018,,,,,
74,36:31.6,2242933,3.7018,,,,,
75,36:31.6,2243193,3.7301,,,,,
76,36:31.6,2242630,3.6687,,,,,
77,36:31.6,2240827,3.4722,,,,,
78,36:31.6,2240926,3.4829,,,,,
79,36:31.6,2240799,3.4691,,,,,
80,36:31.6,2240516,3.4382,,,,,
81,36:31.6,2240576,3.4448,,,,,
82,36:31.6,2240743,3.463,,,,,
83,36:31.6,2240629,3.4506,,,,,
84,36:31.6,2239534,3.3312,,,,,
85,36:31.6,2240486,3.435,,,,,
86,36:31.6,2240719,3.4604,,,,,
87,36:31.6,2241541,3.55,,,,,
88,36:31.6,2241188,3.5115,,,,,
89,36:31.6,2241600,3.5564,,,,,
90,36:31.6,2242148,3.6162,,,,,
91,36:31.6,2242816,3.689,,,,,
92,36:31.6,2242881,3.6961,,,,,
93,36:31.6,2242255,3.6278,,,,,
94,36:31.6,2241928,3.5922,,,,,
95,36:31.6,2242031,3.6034,,,,,
96,36:31.6,2241798,3.578,,,,,
97,36:31.6,2241585,3.5548,,,,,
98,36:31.6,2241983,3.5982,,,,,
99,36:31.6,2241513,3.547,,,,,
100,36:31.6,2240562,3.4432,,,,,
101,36:31.6,2241112,3.5032,,,,,
102,36:31.6,2240959,3.4866,,,,,
103,36:31.6,2241636,3.5604,,,,,
104,36:31.6,2241861,3.5849,,,,,
105,36:31.6,2241558,3.5518,,,,,
106,36:31.6,2240773,3.4663,,,,,
107,36:31.6,2241102,3.5021,,,,,
108,36:31.6,2240929,3.4833,,,,,
109,36:31.6,2239172,3.2917,,,,,
110,36:31.6,2239177,3.2923,,,,,
111,36:31.6,2239056,3.2791,,,,,
112,36:31.6,2240669,3.4549,,,,,
113,36:31.6,2240717,3.4601,,,,,
114,36:31.6,2240521,3.4388,,,,,
115,36:31.6,2240550,3.4419,,,,,
116,36:31.6,2241501,3.5456,,,,,
117,36:31.6,2241707,3.5681,,,,,
118,36:31.6,2241825,3.581,,,,,
119,36:31.6,2241825,3.581,,,,,
120,36:31.6,2242610,3.6665,,,,,
121,36:31.6,2242446,3.6487,,,,,
122,36:31.6,2243650,3.7799,,,,,
123,36:31.6,2243918,3.8091,,,,,
124,36:31.6,2244300,3.8508,,,,,
125,36:31.6,2243830,3.7995,,,,,
126,36:31.6,2243014,3.7106,,,,,
127,36:31.6,2241584,3.5547,,,,,
128,36:31.6,2242140,3.6153,,,,,
129,36:31.6,2241846,3.5833,,,,,
130,36:31.6,2240906,3.4807,,,,,
131,36:31.6,2240443,3.4303,,,,,
132,36:31.6,2240240,3.4081,,,,,
133,36:31.6,2239878,3.3687,,,,,
134,36:31.6,2239572,3.3353,,,,,
135,36:31.6,2238749,3.2456,,,,,
136,36:31.6,2240036,3.3859,,,,,
137,36:31.6,2240777,3.4667,,,,,
138,36:31.6,2241380,3.5324,,,,,
139,36:31.7,2241947,3.5942,,,,,
140,36:31.7,2241886,3.5876,,,,,
141,36:31.7,2241610,3.5575,,,,,
142,36:31.7,2240843,3.4739,,,,,
143,36:31.7,2240506,3.4372,,,,,
144,36:31.7,2240858,3.4755,,,,,
145,36:31.7,2240641,3.4519,,,,,
146,36:31.7,2240634,3.4511,,,,,
147,36:31.7,2241924,3.5917,,,,,
148,36:31.7,2241742,3.5719,,,,,
149,36:31.7,2241557,3.5517,,,,,
150,36:31.7,2242254,3.6277,,,,,
151,36:31.7,2242500,3.6546,,,,,
152,36:31.7,2242744,3.6812,,,,,
153,36:31.7,2242225,3.6246,,,,,
154,36:31.7,2242344,3.6375,,,,,
155,36:31.7,2241917,3.591,,,,,
156,36:31.7,2240648,3.4526,,,,,
157,36:31.7,2240371,3.4225,,,,,
158,36:31.7,2241192,3.512,,,,,
159,36:31.7,2240420,3.4278,,,,,
160,36:31.7,2240122,3.3953,,,,,
161,36:31.7,2240757,3.4645,,,,,
162,36:31.7,2241464,3.5416,,,,,
163,36:31.7,2240824,3.4718,,,,,
164,36:31.7,2241242,3.5174,,,,,
165,36:31.7,2241242,3.5174,,,,,
166,36:31.7,2242662,3.6722,,,,,
167,36:31.7,2241991,3.599,,,,,
168,36:31.7,2241192,3.512,,,,,
169,36:31.7,2242086,3.6094,,,,,
170,36:31.7,2242804,3.6877,,,,,
171,36:31.7,2242884,3.6964,,,,,
172,36:31.7,2243332,3.7453,,,,,
173,36:31.7,2243564,3.7705,,,,,
174,36:31.7,2243677,3.7829,,,,,
175,36:31.7,2244372,3.8586,,,,,
176,36:31.7,2243837,3.8003,,,,,
177,36:31.7,2243409,3.7536,,,,,
178,36:31.7,2243403,3.753,,,,,
179,36:31.7,2243499,3.7635,,,,,
180,36:31.7,2244249,3.8452,,,,,
181,36:31.7,2244609,3.8845,,,,,
182,36:31.7,2243006,3.7097,,,,,
183,36:31.7,2243357,3.748,,,,,
184,36:31.7,2242049,3.6054,,,,,
185,36:31.7,2242265,3.6289,,,,,
186,36:31.7,2241685,3.5657,,,,,
187,36:31.7,2242147,3.6161,,,,,
188,36:31.7,2241930,3.5924,,,,,
189,36:31.7,2241556,3.5516,,,,,
190,36:31.7,2242100,3.6109,,,,,
191,36:31.7,2243027,3.712,,,,,
192,36:31.7,2242482,3.6526,,,,,
193,36:31.7,2242028,3.6031,,,,,
194,36:31.7,2242293,3.632,,,,,
195,36:31.7,2243396,3.7522,,,,,
196,36:31.7,2243739,3.7896,,,,,
197,36:31.7,2242802,3.6875,,,,,
198,36:31.7,2243230,3.7341,,,,,
199,36:31.7,2244304,3.8512,,,,,
200,36:31.7,2243052,3.7147,,,,,
201,36:31.7,2243232,3.7344,,,,,
202,36:31.7,2244060,3.8246,,,,,
203,36:31.7,2244135,3.8328,,,,,
204,36:31.7,2244419,3.8637,,,,,
205,36:31.7,2244108,3.8298,,,,,
206,36:31.7,2243707,3.7861,,,,,
207,36:31.7,2243320,3.7439,,,,,
208,36:31.7,2243038,3.7132,,,,,
209,36:31.7,2243079,3.7177,,,,,
210,36:31.7,2243079,3.7177,,,,,
211,36:31.7,2241470,3.5423,,,,,
212,36:31.7,2241745,3.5722,,,,,
213,36:31.7,2241568,3.5529,,,,,
214,36:31.7,2243002,3.7093,,,,,
215,36:31.7,2242218,3.6238,,,,,
216,36:31.7,2241750,3.5728,,,,,
217,36:31.7,2241822,3.5806,,,,,
218,36:31.7,2242151,3.6165,,,,,
219,36:31.7,2242587,3.664,,,,,
220,36:31.7,2243018,3.711,,,,,
221,36:31.7,2242827,3.6902,,,,,
222,36:31.7,2243485,3.7619,,,,,
223,36:31.7,2244258,3.8462,,,,,
224,36:31.7,2244517,3.8744,,,,,
225,36:31.7,2244559,3.879,,,,,
226,36:31.7,2244988,3.9258,,,,,
227,36:31.7,2243709,3.7863,,,,,
228,36:31.7,2243379,3.7504,,,,,
229,36:31.7,2243063,3.7159,,,,,
230,36:31.7,2243591,3.7735,,,,,
231,36:31.7,2243244,3.7356,,,,,
232,36:31.7,2242836,3.6912,,,,,
233,36:31.7,2242786,3.6857,,,,,
234,36:31.7,2243217,3.7327,,,,,
235,36:31.7,2242423,3.6462,,,,,
236,36:31.7,2241924,3.5917,,,,,
237,36:31.7,2242489,3.6533,,,,,
238,36:31.7,2241549,3.5508,,,,,
239,36:31.7,2241954,3.595,,,,,
240,36:31.8,2242195,3.6213,,,,,
241,36:31.8,2242285,3.6311,,,,,
242,36:31.8,2242718,3.6783,,,,,
243,36:31.8,2241297,3.5234,,,,,
244,36:31.8,2241564,3.5525,,,,,
245,36:31.8,2243361,3.7484,,,,,
246,36:31.8,2243440,3.757,,,,,
247,36:31.8,2244658,3.8898,,,,,
248,36:31.8,2245031,3.9305,,,,,
249,36:31.8,2244743,3.8991,,,,,
250,36:31.8,2243327,3.7447,,,,,
251,36:31.8,2243519,3.7656,,,,,
252,36:31.8,2244804,3.9057,,,,,
253,36:31.8,2245637,3.9965,,,,,
254,36:31.8,2245683,4.0015,,,,,
